type,faust,count,date
fag,54066651,296,2018-08-06
fag,53631606,180,2018-08-06
fag,53399169,164,2018-08-06
fag,54079397,160,2018-08-06
fag,54090536,132,2018-08-06
fag,53746756,123,2018-08-06
fag,53766420,121,2018-08-06
fag,54065043,120,2018-08-06
fag,54166273,100,2018-08-06
fag,54192037,100,2018-08-06
film,53824730,139,2018-08-06
film,53764444,117,2018-08-06
film,53933823,97,2018-08-06
film,53824676,92,2018-08-06
film,53837352,90,2018-08-06
film,53527531,85,2018-08-06
film,53719848,78,2018-08-06
film,53883605,75,2018-08-06
film,53536980,69,2018-08-06
film,54143656,69,2018-08-06
musik,54173776,26,2018-08-06
musik,54006322,24,2018-08-06
musik,54100396,24,2018-08-06
musik,54137516,24,2018-08-06
musik,54145519,22,2018-08-06
musik,54145829,22,2018-08-06
musik,54187564,21,2018-08-06
musik,54074786,20,2018-08-06
musik,54215398,20,2018-08-06
musik,53935370,18,2018-08-06
skøn,53787452,729,2018-08-06
skøn,54167369,421,2018-08-06
skøn,53753795,321,2018-08-06
skøn,53369685,303,2018-08-06
skøn,54220243,295,2018-08-06
skøn,54078714,273,2018-08-06
skøn,54166265,269,2018-08-06
skøn,53830099,256,2018-08-06
skøn,54054467,244,2018-08-06
skøn,54188862,241,2018-08-06
spil,54127332,16,2018-08-06
spil,53844812,15,2018-08-06
spil,53942482,10,2018-08-06
spil,53914454,9,2018-08-06
spil,53852610,7,2018-08-06
spil,53942431,7,2018-08-06
spil,53968473,7,2018-08-06
spil,54016077,6,2018-08-06
spil,51217853,5,2018-08-06
spil,53955908,5,2018-08-06
